,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.45.name,features.45.is_required,features.45.is_known,outCount,outCapacity,inCount,inCapacity,chCount
22,1708437175,0229e272d68a7fe68f9d0b7de043a43df1dde7559b8f0f9ef7e8f2b808ecb82ab8,0229e272d68a7fe68f9d,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,,,,1.0,1000000.0,0.0,0.0,1.0
202,1683024822,03d6658e8261594a51a9638e04fd1afd22366fcde03005c434b47cb67c63be931f,03d6658e8261594a51a9,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,10000000.0,1.0
113,1619945829,02e854b2d824a06ac691a198787ee7904a48683e0ba4eba407b533e457c820f799,02e854b2d824a06ac691,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,2995984.0,0.0,0.0,1.0
226,1711116537,03fa6a3d2c7352799ea532ce184726b19488ada1bcf3d353e82271d5430eb2cbec,03fa6a3d2c7352799ea5,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,unknown,False,False,0.0,0.0,1.0,1400000.0,1.0
90,1671526833,02c2a78d7e8426dadf87cc2c0f6bec076b2ded6fa37dfe3123ab0a0122bdcc9c01,02c2a78d7e8426dadf87,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,5000000.0,0.0,0.0,1.0
4,1674401457,020acc7dae384a0ca3195ca931213e46fcf420ee4a89ec3e7812579c317471b8bd,020acc7dae384a0ca319,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,1000000.0,0.0,0.0,1.0
5,1673862110,020e03f3c318abfac78ae77da75d609774813fbb99c28530ab5ef852b168381aa7,020e03f3c318abfac78a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,40000000.0,0.0,0.0,1.0
222,1682423627,03f3807a1eaa8f76e6ce76ba666d8399db127c49523b2990db8328842cc1828668,03f3807a1eaa8f76e6ce,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,1000000.0,1.0
6,0,0213999a4624fa929d91f10112ddc5dba61130cc1ed305e9f7c6434d564decd701,,[],#000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5000000.0,0.0,0.0,1.0
99,1682618031,02d91c492f45e0c9a65ff0efff9a6049dda332e406162c1613545b4e6925162a93,02d91c492f45e0c9a65f,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,10000000.0,0.0,0.0,1.0
8,1683128348,0214a799e0dc0f1f591e7032ea0e389efc8b7c4119f11266f81c31f2b58a9697f3,0214a799e0dc0f1f591e,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,1.0,10000000.0,0.0,0.0,1.0
218,1685732063,03efb3ee6f67bdf3acf1e357d2e5539863074c397cfff196380d65dfdbeaa9e671,03efb3ee6f67bdf3acf1,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,0.0,0.0,1.0,9000000.0,1.0
